MAHS,Toan,Van,NgoaiNgu
53006920,7.2,7,2.4
53003726,7.6,5.5,3.8
53008088,6.6,7,5.8
53004784,5.6,6,4
53010563,9.4,8.25,7.4
53000723,6.4,7,5.6
53012334,8,7.75,6.4
53013904,8.6,7.25,5.8
53004284,5.4,4.75,2.4
53010520,6,6.5,5
53005952,8.6,6.75,6.4
53010409,7.6,7,5.2
53012696,7.6,6.5,5.2
53005948,8,6,5.8
53008639,8.4,8,9.4
53007758,6.8,6.17,3.8
53007223,8.6,7.75,7.4
53011613,8.6,8,6.8
53009335,5.6,6,2.2
53010324,7.6,5.5,6
53000198,7.8,7,5.6
53007551,9,8.25,8.4
53007657,8.8,8.25,6.8
53009100,8,7.5,6.6
53004134,5.4,6.75,2.8
53004094,7,6.5,3.8
53007108,7,7.5,6.2
53005981,8,6.25,5
53005064,7,6.75,3.2
53010511,7,6.25,4
53008397,8.6,6.75,7.8
53004540,8.2,7.75,5.2
53004365,7.4,7.08,3.8
53009542,7.8,7.75,5
53006275,8,5.75,4
53003342,7.6,8.5,6.8
53012733,6.4,6,3.6
53013296,7.2,8.25,4
53010754,7,7,3.4
53005619,9.2,7.75,4.4
53009648,7,7.5,5.4
53012704,6.4,6.5,5.4
53007034,8.6,6.75,7.4
53013657,8,8.25,4.8
53004838,7.8,6.75,4.8
53009193,8,5.75,4.2
53004161,7.8,7.5,3.8
53004591,3,4.75,3
53006302,7,6.25,3
53006513,8,6,1.4
53002384,6.4,6.75,3.4
53008703,6.2,6,4.4
53002129,7.6,8.5,7.4
53009650,8,6.75,7.4
53003211,6.6,6,6.2
53008520,8.8,7.5,7.4
53005185,7.6,7.25,4
53003157,4.2,8.5,8.2
53013625,8.2,7.75,6
53011364,8.8,8,5.2
53001805,7.4,8.5,4.2
53003495,8.6,8,6
53004607,7.8,7.25,5
53005815,6.8,7,4
53006786,6.8,5.5,2.2
53000224,8.2,8.5,4.2
53000889,7.6,5.75,3.8
53008836,6.8,8,7.2
53005947,8.2,7.75,8
53002526,9.2,7.25,5.4
53011164,8,6.75,3.6
53006594,8.6,6.25,5.6
53011201,7.8,7.25,5.6
53002650,5.6,6.25,3.2
53013716,7.4,7.5,6.2
53010716,8.4,6,4
53004568,5.8,5.5,2.4
53000648,8.4,8.25,3.8
53001798,6.6,8,3.8
53000872,7,6.25,2.8
53004660,6.6,7.75,3
53011595,7,8.5,5.2
53003200,9.2,7.75,6.8
53009377,9.2,8,8.6
53006438,8.4,7.75,4.6
53011805,6.6,7.25,5.6
53001420,8.8,6.75,8.2
53012994,7.4,7.5,5
53013192,7.6,6,5.2
53012650,8.6,6.5,4.4
53006328,8.8,7.25,6.2
53005583,7.8,6.75,5.8
53001118,7,6,3.4
53011078,7.2,7,5.4
53002041,7.6,7.75,4
53007177,7.4,7.5,6.2
53003782,7.6,8.75,7.4
53001950,7.2,7.25,3.4
53007268,7.2,7.75,6.4
53006351,7.8,6.5,4.4
53009974,8,8,4.4
53007662,8.8,8.5,7.6
53010942,5.4,6,3.6
53009311,7.6,7.75,5
53003973,7.4,7,5
53005529,5.6,6.75,2.2
53009747,7.8,7.75,6.2
53000768,8.4,6.75,3
53004147,4.8,4.25,3.2
53003326,8.6,7,6
53012742,8.6,6.5,4.2
53000095,8.4,6.5,6
53004586,8,8,4.6
53011156,7,5.75,4.6
53006507,8.6,8.75,7.2
53011427,8.2,8,5.2
53005252,6,5.75,3
53013440,6.4,6.5,2.8
53011430,8.4,7.5,5
53000400,7,7.25,4.6
53010167,9.2,7.08,9
53005867,6.4,7.25,3.4
53004149,6.2,7.25,4.8
53003681,7.8,4.25,6
53013248,7.2,6.75,5.4
53011812,8.4,6.5,4.2
53009714,8.2,8.75,8
53002353,6,6.75,4
53004390,6.4,5.75,2.8
53003718,7.4,6.5,3.4
53001852,9.2,6.75,4.8
53011082,7.4,7.5,5.6
53003181,5.2,6.25,4.6
53003632,6.4,6.25,3.6
53009286,7.2,5.5,5
53003754,7.8,7.5,6
53008474,8.8,8.75,8.8
53005043,7,6.75,2.6
53000413,6.6,6.5,4.2
53000251,8,7,3.2
53000551,6.8,7.5,5.4
53007552,9.8,8.75,7
53004755,7.4,8,8.4
53008363,8.2,7,5.8
53012779,9.4,7,7.4
53007212,8.8,7,7.2
53006701,7,6.5,3.6
53010101,8.2,7.5,7.4
53006554,5.4,5.5,2.2
